grp,age,carb_g_rni,carb_g_ai,carb_g_ul,protein_g_rni,protein_g_ai,protein_g_ul,fat_g_rni,fat_g_ai,fat_g_ul,fiber_g_rni,fiber_g_ai,fiber_g_ul,calcium_mg_rni,calcium_mg_ai,calcium_mg_ul,iron_mg_rni,iron_mg_ai,iron_mg_ul,phosphorus_mg_rni,phosphorus_mg_ai,phosphorus_mg_ul,potassium_mg_rni,potassium_mg_ai,potassium_mg_ul,sodium_mg_rni,sodium_mg_ai,sodium_mg_ul,vitamin_a_ug_rae_rni,vitamin_a_ug_rae_ai,vitamin_a_ug_rae_ul,thiamine_mg_rni,thiamine_mg_ai,thiamine_mg_ul,riboflavin_mg_rni,riboflavin_mg_ai,riboflavin_mg_ul,niacin_mg_rni,niacin_mg_ai,niacin_mg_ul,vitamin_c_mg_rni,vitamin_c_mg_ai,vitamin_c_mg_ul,vitamin_d_ug_rni,vitamin_d_ug_ai,vitamin_d_ug_ul
영아,0-5개월,,55,,,10,,,25,,,,,,200,1000,,0.3,40,,100,,,400,,,110,,,350,600,,0.2,,,0.3,,,2,,,40,,,5,25
영아,6-11개월,,85,,15,,,,25,,,,,,300,1000,6,,40,,300,,,700,,,370,,,450,600,,0.3,,,0.4,,,3,,,55,,,5,25
유아,1-2세,130,,,20,,,,,,,10,,450,,1500,6,,40,450,,3000,,1500,,,630,1000,250,,600,0.4,,,0.5,,,5,,10,40,,340,,5,30
유아,3-5세,130,,,25,,,,,,,15,,550,,2500,6,,40,600,,3000,,2300,,,1000,1500,300,,750,0.5,,,0.6,,,6,,10,45,,510,,5,35
남자,6-8세,130,,,35,,,,,,,20,,700,,3000,7,,40,600,,3000,,2600,,,1100,1700,450,,1100,0.7,,,0.9,,,8,,15,50,,750,,5,40
남자,9-11세,130,,,50,,,,,,,20,,800,,3000,8,,40,1200,,3500,,3100,,,1300,2000,600,,1600,0.9,,,1.1,,,11,,20,70,,1100,,5,60
남자,12-14세,130,,,60,,,,,,,25,,950,,3000,11,,40,1200,,3500,,3500,,,1500,2300,750,,2300,1.1,,,1.5,,,14,,25,90,,1400,,10,100
남자,15-18세,130,,,65,,,,,,,25,,800,,3000,11,,45,1100,,3500,,3500,,,1500,2300,850,,2800,1.3,,,1.7,,,16,,30,100,,1600,,10,100
남자,19-29세,130,,,65,,,,,,,30,,800,,3000,8,,45,650,,3500,,3500,,,1500,2300,800,,3000,1.2,,,1.5,,,14,,35,100,,2000,,10,100
남자,30-49세,130,,,65,,,,,,,30,,800,,2500,8,,45,650,,3500,,3500,,,1500,2300,800,,3000,1.2,,,1.5,,,14,,35,100,,2000,,10,100
남자,50-64세,130,,,60,,,,,,,30,,800,,2500,8,,45,650,,3500,,3500,,,1500,2300,750,,3000,1.2,,,1.5,,,14,,35,100,,2000,,10,100
남자,65-74세,130,,,60,,,,,,,30,,800,,2500,8,,45,650,,3500,,3500,,,1300,1900,700,,3000,1.1,,,1.4,,,13,,35,100,,2000,,15,100
남자,75세 이상,130,,,60,,,,,,,30,,800,,2500,7,,45,650,,3000,,3500,,,1200,1800,700,,3000,1.1,,,1.4,,,12,,35,100,,2000,,15,100
여자,6-8세,130,,,35,,,,,,,15,,700,,2500,7,,40,600,,3000,,2600,,,1100,1700,400,,1100,0.7,,,0.8,,,8,,15,50,,750,,5,40
여자,9-11세,130,,,45,,,,,,,20,,800,,2500,8,,40,1200,,3500,,3100,,,1300,2000,550,,1600,0.9,,,1,,,11,,20,70,,1100,,5,60
여자,12-14세,130,,,55,,,,,,,20,,850,,2500,13,,40,1100,,3500,,3500,,,1500,2300,650,,2300,1.1,,,1.2,,,14,,25,90,,1400,,10,100
여자,15-18세,130,,,55,,,,,,,20,,700,,2500,12,,45,1000,,3500,,3500,,,1500,2300,650,,2800,1.1,,,1.2,,,13,,30,100,,1600,,10,100
여자,19-29세,130,,,55,,,,,,,20,,650,,2500,12,,45,650,,3500,,3500,,,1500,2300,650,,3000,1.1,,,1.2,,,13,,35,100,,2000,,10,100
여자,30-49세,130,,,50,,,,,,,20,,650,,2000,12,,45,650,,3500,,3500,,,1500,2300,650,,3000,1.1,,,1.2,,,13,,35,100,,2000,,10,100
여자,50-64세,130,,,50,,,,,,,25,,750,,2000,7,,45,650,,3500,,3500,,,1500,2300,600,,3000,1.1,,,1.2,,,13,,35,100,,2000,,10,100
여자,65-74세,130,,,50,,,,,,,25,,750,,2000,6,,45,650,,3500,,3500,,,1300,1900,600,,3000,1,,,1.1,,,12,,35,100,,2000,,15,100
여자,75세 이상,130,,,50,,,,,,,25,,750,,2000,6,,45,650,,3000,,3500,,,1200,1800,600,,3000,0.8,,,1,,,11,,35,100,,2000,,15,100
임신부,,45,,,10,,,,,,,5,,0,,0,9,,45,0,,3000,,0,,,0,2300,70,,3000,0.4,,,0.4,,,4,,35,10,,2000,,0,100
수유부,,70,,,25,,,,,,,5,,0,,0,0,,45,0,,3500,,400,,,0,2300,490,,3000,0.4,,,0.5,,,3,,35,40,,2000,,0,100
